,Month,Trip ID,Plant Code,Depot,City Code,DI No,Lead_SAP,Plant,trip_id,city_code,depot_description,district_description,taluka_descr,city_descr,state_description,Plant_City,Plant_Depot,Plant_District,Plant_Taluka,Plant_CityDescr,latitude,longitude,lat_long_time,sys_creation_date,Orgn_lat,Orgn_lng,Dest_lat,Dest_lng,DtTimeSeq
21,jan23,250119195185367,6924,SAINTHIA,WBR5,6924218234,44.0,6924,250119195185367,WBR5,SAINTHIA,BIRBHUM,MURARAI - II,BHIMPUR,WEST BENGAL,6924WBR5,6924SAINTHIA,6924BIRBHUM,6924MURARAI - II,6924BHIMPUR,24.387318,88.090213,20012023163343,2023-01-20 16:41:55,24.388,88.084,24.44,87.91,2023-01-20 16:33:43
22,jan23,250119195185367,6924,SAINTHIA,WBR5,6924218234,44.0,6924,250119195185367,WBR5,SAINTHIA,BIRBHUM,MURARAI - II,BHIMPUR,WEST BENGAL,6924WBR5,6924SAINTHIA,6924BIRBHUM,6924MURARAI - II,6924BHIMPUR,24.386780,88.084311,20012023183512,2023-01-20 18:41:22,24.388,88.084,24.44,87.91,2023-01-20 18:35:12
23,jan23,250119195185367,6924,SAINTHIA,WBR5,6924218234,44.0,6924,250119195185367,WBR5,SAINTHIA,BIRBHUM,MURARAI - II,BHIMPUR,WEST BENGAL,6924WBR5,6924SAINTHIA,6924BIRBHUM,6924MURARAI - II,6924BHIMPUR,24.510222,87.920942,20012023094614,2023-01-20 09:54:10,24.388,88.084,24.44,87.91,2023-01-20 09:46:14
24,jan23,250119195185367,6924,SAINTHIA,WBR5,6924218234,44.0,6924,250119195185367,WBR5,SAINTHIA,BIRBHUM,MURARAI - II,BHIMPUR,WEST BENGAL,6924WBR5,6924SAINTHIA,6924BIRBHUM,6924MURARAI - II,6924BHIMPUR,24.490400,88.033644,20012023070548,2023-01-20 07:09:06,24.388,88.084,24.44,87.91,2023-01-20 07:05:48
25,jan23,250119195185367,6924,SAINTHIA,WBR5,6924218234,44.0,6924,250119195185367,WBR5,SAINTHIA,BIRBHUM,MURARAI - II,BHIMPUR,WEST BENGAL,6924WBR5,6924SAINTHIA,6924BIRBHUM,6924MURARAI - II,6924BHIMPUR,24.510222,87.920942,20012023091114,2023-01-20 09:15:03,24.388,88.084,24.44,87.91,2023-01-20 09:11:14
26,jan23,250119195185367,6924,SAINTHIA,WBR5,6924218234,44.0,6924,250119195185367,WBR5,SAINTHIA,BIRBHUM,MURARAI - II,BHIMPUR,WEST BENGAL,6924WBR5,6924SAINTHIA,6924BIRBHUM,6924MURARAI - II,6924BHIMPUR,24.387324,88.082862,20012023221551,2023-01-20 22:20:18,24.388,88.084,24.44,87.91,2023-01-20 22:15:51
27,jan23,250119195185367,6924,SAINTHIA,WBR5,6924218234,44.0,6924,250119195185367,WBR5,SAINTHIA,BIRBHUM,MURARAI - II,BHIMPUR,WEST BENGAL,6924WBR5,6924SAINTHIA,6924BIRBHUM,6924MURARAI - II,6924BHIMPUR,24.387318,88.090213,20012023174801,2023-01-20 17:56:45,24.388,88.084,24.44,87.91,2023-01-20 17:48:01
28,jan23,250119195185367,6924,SAINTHIA,WBR5,6924218234,44.0,6924,250119195185367,WBR5,SAINTHIA,BIRBHUM,MURARAI - II,BHIMPUR,WEST BENGAL,6924WBR5,6924SAINTHIA,6924BIRBHUM,6924MURARAI - II,6924BHIMPUR,24.510222,87.920942,20012023085114,2023-01-20 08:59:34,24.388,88.084,24.44,87.91,2023-01-20 08:51:14
29,jan23,250119195185367,6924,SAINTHIA,WBR5,6924218234,44.0,6924,250119195185367,WBR5,SAINTHIA,BIRBHUM,MURARAI - II,BHIMPUR,WEST BENGAL,6924WBR5,6924SAINTHIA,6924BIRBHUM,6924MURARAI - II,6924BHIMPUR,24.510562,87.933582,20012023074350,2023-01-20 07:48:25,24.388,88.084,24.44,87.91,2023-01-20 07:43:50
30,jan23,250119195185367,6924,SAINTHIA,WBR5,6924218234,44.0,6924,250119195185367,WBR5,SAINTHIA,BIRBHUM,MURARAI - II,BHIMPUR,WEST BENGAL,6924WBR5,6924SAINTHIA,6924BIRBHUM,6924MURARAI - II,6924BHIMPUR,24.386747,88.089627,20012023231851,2023-01-20 23:24:02,24.388,88.084,24.44,87.91,2023-01-20 23:18:51
